,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
105,sdg,Australia and New Zealand,total,Drinking water,2005,0.15220999999999998,37099.51116,Unimproved
113,sdg,Australia and New Zealand,total,Drinking water,2006,99.83363,24718329.98243,At least basic
116,sdg,Australia and New Zealand,total,Drinking water,2006,0.0,0.0,Limited service
120,sdg,Australia and New Zealand,total,Drinking water,2006,0.02543,6295.52456,Surface water
123,sdg,Australia and New Zealand,total,Drinking water,2006,0.14095,34897.49304,Unimproved
131,sdg,Australia and New Zealand,total,Drinking water,2007,99.8513,25142373.09575,At least basic
134,sdg,Australia and New Zealand,total,Drinking water,2007,0.0,0.0,Limited service
138,sdg,Australia and New Zealand,total,Drinking water,2007,0.018940000000000002,4768.92739,Surface water
141,sdg,Australia and New Zealand,total,Drinking water,2007,0.12976,32672.976860000002,Unimproved
149,sdg,Australia and New Zealand,total,Drinking water,2008,99.86884,25587213.25191,At least basic
152,sdg,Australia and New Zealand,total,Drinking water,2008,0.0,0.0,Limited service
156,sdg,Australia and New Zealand,total,Drinking water,2008,0.0,0.0,Surface water
159,sdg,Australia and New Zealand,total,Drinking water,2008,0.13116,33603.74809,Unimproved
167,sdg,Australia and New Zealand,total,Drinking water,2009,99.88629,26032885.250210002,At least basic
170,sdg,Australia and New Zealand,total,Drinking water,2009,0.0,0.0,Limited service
174,sdg,Australia and New Zealand,total,Drinking water,2009,0.0,0.0,Surface water
177,sdg,Australia and New Zealand,total,Drinking water,2009,0.11370999999999999,29636.749789999998,Unimproved
185,sdg,Australia and New Zealand,total,Drinking water,2010,99.90365,26464603.82387,At least basic
188,sdg,Australia and New Zealand,total,Drinking water,2010,0.0,0.0,Limited service
192,sdg,Australia and New Zealand,total,Drinking water,2010,0.0,0.0,Surface water
195,sdg,Australia and New Zealand,total,Drinking water,2010,0.09635,25522.17613,Unimproved
203,sdg,Australia and New Zealand,total,Drinking water,2011,99.92094,26876897.59993,At least basic
206,sdg,Australia and New Zealand,total,Drinking water,2011,0.0,0.0,Limited service
210,sdg,Australia and New Zealand,total,Drinking water,2011,0.0,0.0,Surface water
213,sdg,Australia and New Zealand,total,Drinking water,2011,0.07906,21265.40007,Unimproved
221,sdg,Australia and New Zealand,total,Drinking water,2012,99.93811,27272704.65701,At least basic
224,sdg,Australia and New Zealand,total,Drinking water,2012,0.0,0.0,Limited service
228,sdg,Australia and New Zealand,total,Drinking water,2012,0.0,0.0,Surface water
231,sdg,Australia and New Zealand,total,Drinking water,2012,0.06189,16888.34299,Unimproved
239,sdg,Australia and New Zealand,total,Drinking water,2013,99.95519,27655857.98278,At least basic
242,sdg,Australia and New Zealand,total,Drinking water,2013,0.0,0.0,Limited service
246,sdg,Australia and New Zealand,total,Drinking water,2013,0.0,0.0,Surface water
249,sdg,Australia and New Zealand,total,Drinking water,2013,0.04481,12397.01722,Unimproved
257,sdg,Australia and New Zealand,total,Drinking water,2014,99.96775,28032325.896059997,At least basic
260,sdg,Australia and New Zealand,total,Drinking water,2014,0.0,0.0,Limited service
264,sdg,Australia and New Zealand,total,Drinking water,2014,0.0,0.0,Surface water
267,sdg,Australia and New Zealand,total,Drinking water,2014,0.03225,9042.10394,Unimproved
275,sdg,Australia and New Zealand,total,Drinking water,2015,99.97488,28406948.996109996,At least basic
278,sdg,Australia and New Zealand,total,Drinking water,2015,0.0,0.0,Limited service
282,sdg,Australia and New Zealand,total,Drinking water,2015,0.0,0.0,Surface water
285,sdg,Australia and New Zealand,total,Drinking water,2015,0.02512,7139.003890000001,Unimproved
293,sdg,Australia and New Zealand,total,Drinking water,2017,99.97479,29149027.08497,At least basic
296,sdg,Australia and New Zealand,total,Drinking water,2017,0.0,0.0,Limited service
300,sdg,Australia and New Zealand,total,Drinking water,2017,0.0,0.0,Surface water
303,sdg,Australia and New Zealand,total,Drinking water,2017,0.02521,7350.91503,Unimproved
319,sdg,Central and Southern Asia,total,Drinking water,2000,39.844809999999995,600986093.15787,Basic service
322,sdg,Central and Southern Asia,total,Drinking water,2000,4.79446,72315724.62649,Limited service
325,sdg,Central and Southern Asia,total,Drinking water,2000,41.35686,623792527.07633,Safely managed service
328,sdg,Central and Southern Asia,total,Drinking water,2000,2.39977,36196167.26634,Surface water
331,sdg,Central and Southern Asia,total,Drinking water,2000,11.60409,175026488.87296999,Unimproved
347,sdg,Central and Southern Asia,total,Drinking water,2001,39.19917,601818228.7164401,Basic service
350,sdg,Central and Southern Asia,total,Drinking water,2001,4.80004,73694217.16225,Limited service
353,sdg,Central and Southern Asia,total,Drinking water,2001,42.41881,651248808.58262,Safely managed service
356,sdg,Central and Southern Asia,total,Drinking water,2001,2.34242,35962743.88689,Surface water
359,sdg,Central and Southern Asia,total,Drinking water,2001,11.23956,172559120.65333,Unimproved
375,sdg,Central and Southern Asia,total,Drinking water,2002,38.77828,605801090.7972599,Basic service
378,sdg,Central and Southern Asia,total,Drinking water,2002,4.56757,71355443.92872,Limited service
381,sdg,Central and Southern Asia,total,Drinking water,2002,43.52746,679993593.7792,Safely managed service
384,sdg,Central and Southern Asia,total,Drinking water,2002,2.27293,35508053.259040006,Surface water
387,sdg,Central and Southern Asia,total,Drinking water,2002,10.853760000000001,169559270.23578,Unimproved
403,sdg,Central and Southern Asia,total,Drinking water,2003,38.35314,609441836.64274,Basic service
406,sdg,Central and Southern Asia,total,Drinking water,2003,4.33333,68857876.2717,Limited service
409,sdg,Central and Southern Asia,total,Drinking water,2003,44.638329999999996,709315268.5092,Safely managed service
412,sdg,Central and Southern Asia,total,Drinking water,2003,2.2035299999999998,35014696.04197,Surface water
415,sdg,Central and Southern Asia,total,Drinking water,2003,10.47167,166397649.53439,Unimproved
431,sdg,Central and Southern Asia,total,Drinking water,2004,37.9229,612679633.08489,Basic service
434,sdg,Central and Southern Asia,total,Drinking water,2004,4.09736,66196713.73575,Limited service
437,sdg,Central and Southern Asia,total,Drinking water,2004,45.755959999999995,739230025.58735,Safely managed service
440,sdg,Central and Southern Asia,total,Drinking water,2004,2.1337099999999998,34472020.44541,Surface water
443,sdg,Central and Southern Asia,total,Drinking water,2004,10.090069999999999,163014392.14498,Unimproved
459,sdg,Central and Southern Asia,total,Drinking water,2005,37.495329999999996,615609646.68769,Basic service
462,sdg,Central and Southern Asia,total,Drinking water,2005,3.8656900000000003,63468039.66404,Limited service
465,sdg,Central and Southern Asia,total,Drinking water,2005,46.865520000000004,769452245.69065,Safely managed service
468,sdg,Central and Southern Asia,total,Drinking water,2005,2.0617400000000004,33850300.09866,Surface water
471,sdg,Central and Southern Asia,total,Drinking water,2005,9.71172,159449948.8606,Unimproved
487,sdg,Central and Southern Asia,total,Drinking water,2006,37.059020000000004,618029489.51218,Basic service
490,sdg,Central and Southern Asia,total,Drinking water,2006,3.63204,60571190.74808001,Limited service
493,sdg,Central and Southern Asia,total,Drinking water,2006,47.987359999999995,800280327.10957,Safely managed service
496,sdg,Central and Southern Asia,total,Drinking water,2006,1.9882400000000002,33157600.007990003,Surface water
499,sdg,Central and Southern Asia,total,Drinking water,2006,9.33335,155651334.62218,Unimproved
515,sdg,Central and Southern Asia,total,Drinking water,2007,36.624309999999994,620121272.8845401,Basic service
518,sdg,Central and Southern Asia,total,Drinking water,2007,3.3922199999999996,57436890.14954,Limited service
521,sdg,Central and Southern Asia,total,Drinking water,2007,49.11398,831595961.72994,Safely managed service
524,sdg,Central and Southern Asia,total,Drinking water,2007,1.91376,32403637.990340002,Surface water
527,sdg,Central and Southern Asia,total,Drinking water,2007,8.955739999999999,151638212.24563998,Unimproved
543,sdg,Central and Southern Asia,total,Drinking water,2008,36.18445,621804149.3918099,Basic service
546,sdg,Central and Southern Asia,total,Drinking water,2008,3.15187,54162739.18961,Limited service
549,sdg,Central and Southern Asia,total,Drinking water,2008,50.24515,863427464.07905,Safely managed service
552,sdg,Central and Southern Asia,total,Drinking water,2008,1.8390400000000002,31602580.833290003,Surface water
555,sdg,Central and Southern Asia,total,Drinking water,2008,8.57949,147432410.50453,Unimproved
571,sdg,Central and Southern Asia,total,Drinking water,2009,35.722229999999996,622821485.7640799,Basic service
574,sdg,Central and Southern Asia,total,Drinking water,2009,2.92108,50929319.443009995,Limited service
577,sdg,Central and Southern Asia,total,Drinking water,2009,51.38633,895927037.5679699,Safely managed service
580,sdg,Central and Southern Asia,total,Drinking water,2009,1.7649099999999998,30771427.256909996,Surface water
583,sdg,Central and Southern Asia,total,Drinking water,2009,8.20546,143063155.96804,Unimproved
599,sdg,Central and Southern Asia,total,Drinking water,2010,35.25685,623528188.8366799,Basic service
602,sdg,Central and Southern Asia,total,Drinking water,2010,2.68735,47526686.040290006,Limited service
605,sdg,Central and Southern Asia,total,Drinking water,2010,52.52997,929008682.4842801,Safely managed service
608,sdg,Central and Southern Asia,total,Drinking water,2010,1.69173,29918838.97269,Surface water
611,sdg,Central and Southern Asia,total,Drinking water,2010,7.8341,138548397.66606,Unimproved
627,sdg,Central and Southern Asia,total,Drinking water,2011,34.79422,624035074.74243,Basic service
630,sdg,Central and Southern Asia,total,Drinking water,2011,2.4508400000000004,43955910.41555,Limited service
633,sdg,Central and Southern Asia,total,Drinking water,2011,53.66973,962567911.28519,Safely managed service
636,sdg,Central and Southern Asia,total,Drinking water,2011,1.6195899999999999,29047313.989359997,Surface water
639,sdg,Central and Southern Asia,total,Drinking water,2011,7.4656199999999995,133896146.56748,Unimproved
664,sdg,Central and Southern Asia,total,Drinking water,2012,34.33545,624351485.93769,Basic service
667,sdg,Central and Southern Asia,total,Drinking water,2012,2.21159,40215270.12634,Limited service
670,sdg,Central and Southern Asia,total,Drinking water,2012,54.805440000000004,996575376.6948,Safely managed service
673,sdg,Central and Southern Asia,total,Drinking water,2012,1.54829,28153994.238859996,Surface water
676,sdg,Central and Southern Asia,total,Drinking water,2012,7.09923,129091488.0023,Unimproved
701,sdg,Central and Southern Asia,total,Drinking water,2013,33.87663,624394729.79915,Basic service
704,sdg,Central and Southern Asia,total,Drinking water,2013,1.9697200000000001,36304759.69529,Limited service
707,sdg,Central and Southern Asia,total,Drinking water,2013,55.94108000000001,1031074083.52194,Safely managed service
710,sdg,Central and Southern Asia,total,Drinking water,2013,1.47699,27222957.58151,Surface water
713,sdg,Central and Southern Asia,total,Drinking water,2013,6.735589999999999,124146519.40396,Unimproved
738,sdg,Central and Southern Asia,total,Drinking water,2014,33.418040000000005,624149416.41549,Basic service
741,sdg,Central and Southern Asia,total,Drinking water,2014,1.72531,32223640.048,Limited service
744,sdg,Central and Southern Asia,total,Drinking water,2014,57.0776,1066039655.4399301,Safely managed service
747,sdg,Central and Southern Asia,total,Drinking water,2014,1.40554,26251292.83402,Surface water
750,sdg,Central and Southern Asia,total,Drinking water,2014,6.37352,119038296.26443,Unimproved
775,sdg,Central and Southern Asia,total,Drinking water,2015,32.962559999999996,623656117.51523,Basic service
778,sdg,Central and Southern Asia,total,Drinking water,2015,1.4783,27969646.067440003,Limited service
781,sdg,Central and Southern Asia,total,Drinking water,2015,58.21001999999999,1101341416.96327,Safely managed service
784,sdg,Central and Southern Asia,total,Drinking water,2015,1.33328,25225925.24786,Surface water
787,sdg,Central and Southern Asia,total,Drinking water,2015,6.01583,113820351.20808999,Unimproved
812,sdg,Central and Southern Asia,total,Drinking water,2017,32.112159999999996,622919466.12413,Basic service
815,sdg,Central and Southern Asia,total,Drinking water,2017,0.96986,18813602.46184,Limited service
818,sdg,Central and Southern Asia,total,Drinking water,2017,60.41836,1172010093.22132,Safely managed service
821,sdg,Central and Southern Asia,total,Drinking water,2017,1.18676,23021009.97213,Surface water
824,sdg,Central and Southern Asia,total,Drinking water,2017,5.31286,103060089.22058001,Unimproved
842,sdg,Eastern and South-Eastern Asia,total,Drinking water,2000,81.47896,1659754590.7864802,At least basic
845,sdg,Eastern and South-Eastern Asia,total,Drinking water,2000,1.03245,21031385.82906,Limited service
849,sdg,Eastern and South-Eastern Asia,total,Drinking water,2000,3.4616300000000004,70514683.05572,Surface water
852,sdg,Eastern and South-Eastern Asia,total,Drinking water,2000,14.02696,285734039.32874,Unimproved
870,sdg,Eastern and South-Eastern Asia,total,Drinking water,2001,81.91178000000001,1681912328.10848,At least basic
873,sdg,Eastern and South-Eastern Asia,total,Drinking water,2001,1.01282,20796484.10547,Limited service
877,sdg,Eastern and South-Eastern Asia,total,Drinking water,2001,3.3637300000000003,69068103.42488,Surface water
880,sdg,Eastern and South-Eastern Asia,total,Drinking water,2001,13.711670000000002,281544653.36117,Unimproved
898,sdg,Eastern and South-Eastern Asia,total,Drinking water,2002,82.86645,1714878844.2297099,At least basic
901,sdg,Eastern and South-Eastern Asia,total,Drinking water,2002,0.9941700000000001,20573806.075039998,Limited service
905,sdg,Eastern and South-Eastern Asia,total,Drinking water,2002,3.23786,67005939.80061,Surface water
908,sdg,Eastern and South-Eastern Asia,total,Drinking water,2002,12.90151,266990251.89465,Unimproved
926,sdg,Eastern and South-Eastern Asia,total,Drinking water,2003,83.68618000000001,1745211125.90304,At least basic
929,sdg,Eastern and South-Eastern Asia,total,Drinking water,2003,0.9847799999999999,20536862.03181,Limited service
933,sdg,Eastern and South-Eastern Asia,total,Drinking water,2003,3.1360900000000003,65400796.859680004,Surface water
936,sdg,Eastern and South-Eastern Asia,total,Drinking water,2003,12.19295,254274561.20339,Unimproved
954,sdg,Eastern and South-Eastern Asia,total,Drinking water,2004,84.48934,1775296099.43873,At least basic
957,sdg,Eastern and South-Eastern Asia,total,Drinking water,2004,0.97283,20441193.19538,Limited service
961,sdg,Eastern and South-Eastern Asia,total,Drinking water,2004,3.03367,63743764.484790005,Surface water
964,sdg,Eastern and South-Eastern Asia,total,Drinking water,2004,11.50415,241726089.8811,Unimproved
982,sdg,Eastern and South-Eastern Asia,total,Drinking water,2005,85.27433,1805071446.3491602,At least basic
985,sdg,Eastern and South-Eastern Asia,total,Drinking water,2005,0.9579700000000001,20278104.85215,Limited service
989,sdg,Eastern and South-Eastern Asia,total,Drinking water,2005,2.81862,59663930.65616,Surface water
992,sdg,Eastern and South-Eastern Asia,total,Drinking water,2005,10.94909,231768345.14253998,Unimproved
1010,sdg,Eastern and South-Eastern Asia,total,Drinking water,2006,86.02717,1834226030.42902,At least basic
1013,sdg,Eastern and South-Eastern Asia,total,Drinking water,2006,0.94921,20238542.40305,Limited service
1017,sdg,Eastern and South-Eastern Asia,total,Drinking water,2006,2.61002,55649366.366909996,Surface water
1020,sdg,Eastern and South-Eastern Asia,total,Drinking water,2006,10.4136,222033335.79889,Unimproved
1038,sdg,Eastern and South-Eastern Asia,total,Drinking water,2007,86.76188,1863092091.55647,At least basic
1041,sdg,Eastern and South-Eastern Asia,total,Drinking water,2007,0.9384899999999999,20152751.47056,Limited service
1045,sdg,Eastern and South-Eastern Asia,total,Drinking water,2007,2.41066,51765691.01202,Surface water
1048,sdg,Eastern and South-Eastern Asia,total,Drinking water,2007,9.88897,212351962.96095,Unimproved
1066,sdg,Eastern and South-Eastern Asia,total,Drinking water,2008,87.47944,1891767249.8930101,At least basic
1069,sdg,Eastern and South-Eastern Asia,total,Drinking water,2008,0.9257799999999999,20020307.72091,Limited service
1073,sdg,Eastern and South-Eastern Asia,total,Drinking water,2008,2.2326900000000003,48282530.070209995,Surface water
1076,sdg,Eastern and South-Eastern Asia,total,Drinking water,2008,9.36209,202457804.34803998,Unimproved
1094,sdg,Eastern and South-Eastern Asia,total,Drinking water,2009,88.17916,1920338469.5300899,At least basic
1097,sdg,Eastern and South-Eastern Asia,total,Drinking water,2009,0.91091,19837506.928170003,Limited service
1101,sdg,Eastern and South-Eastern Asia,total,Drinking water,2009,2.04283,44488049.50487,Surface water
1104,sdg,Eastern and South-Eastern Asia,total,Drinking water,2009,8.86711,193105149.03688002,Unimproved
1122,sdg,Eastern and South-Eastern Asia,total,Drinking water,2010,88.86084,1948857213.75461,At least basic
1125,sdg,Eastern and South-Eastern Asia,total,Drinking water,2010,0.8940799999999999,19608564.73976,Limited service
1129,sdg,Eastern and South-Eastern Asia,total,Drinking water,2010,1.85887,40767830.77385,Surface water
1132,sdg,Eastern and South-Eastern Asia,total,Drinking water,2010,8.38622,183922877.72958001,Unimproved
1150,sdg,Eastern and South-Eastern Asia,total,Drinking water,2011,89.51576,1977159233.5172398,At least basic
1153,sdg,Eastern and South-Eastern Asia,total,Drinking water,2011,0.87544,19336006.84777,Limited service
1157,sdg,Eastern and South-Eastern Asia,total,Drinking water,2011,1.68304,37173758.23317,Surface water
1160,sdg,Eastern and South-Eastern Asia,total,Drinking water,2011,7.92577,175058649.39962,Unimproved
1178,sdg,Eastern and South-Eastern Asia,total,Drinking water,2012,90.15001,2005297330.31921,At least basic
1181,sdg,Eastern and South-Eastern Asia,total,Drinking water,2012,0.8549,19016309.363429997,Limited service
1185,sdg,Eastern and South-Eastern Asia,total,Drinking water,2012,1.51035,33596242.74251,Surface water
1188,sdg,Eastern and South-Eastern Asia,total,Drinking water,2012,7.4847399999999995,166490624.57263002,Unimproved
1206,sdg,Eastern and South-Eastern Asia,total,Drinking water,2013,90.76706999999999,2033156950.81498,At least basic
1209,sdg,Eastern and South-Eastern Asia,total,Drinking water,2013,0.8322200000000001,18641565.03493,Limited service
1213,sdg,Eastern and South-Eastern Asia,total,Drinking water,2013,1.34117,30041752.18742,Surface water
1216,sdg,Eastern and South-Eastern Asia,total,Drinking water,2013,7.059539999999999,158131648.96267,Unimproved
1234,sdg,Eastern and South-Eastern Asia,total,Drinking water,2014,91.38614,2060906592.2099302,At least basic
1237,sdg,Eastern and South-Eastern Asia,total,Drinking water,2014,0.78879,17788525.5121,Limited service
1241,sdg,Eastern and South-Eastern Asia,total,Drinking water,2014,1.18259,26669229.151729997,Surface water
1244,sdg,Eastern and South-Eastern Asia,total,Drinking water,2014,6.64249,149798966.12625,Unimproved
1262,sdg,Eastern and South-Eastern Asia,total,Drinking water,2015,91.95059,2087057925.94808,At least basic
1265,sdg,Eastern and South-Eastern Asia,total,Drinking water,2015,0.77664,17627960.93649,Limited service
1269,sdg,Eastern and South-Eastern Asia,total,Drinking water,2015,1.0298,23373916.37573,Surface water
1272,sdg,Eastern and South-Eastern Asia,total,Drinking water,2015,6.24297,141700335.7397,Unimproved
1290,sdg,Eastern and South-Eastern Asia,total,Drinking water,2017,92.9913,2135958655.26877,At least basic
1293,sdg,Eastern and South-Eastern Asia,total,Drinking water,2017,0.78857,18112925.755739998,Limited service
1297,sdg,Eastern and South-Eastern Asia,total,Drinking water,2017,0.7570100000000001,17388145.32891,Surface water
1300,sdg,Eastern and South-Eastern Asia,total,Drinking water,2017,5.46312,125484811.64657,Unimproved
1318,sdg,Europe and Northern America,total,Drinking water,2000,8.31283,86457249.97616,Basic service
1320,sdg,Europe and Northern America,total,Drinking water,2000,0.2013,2093631.45128,Limited service
1323,sdg,Europe and Northern America,total,Drinking water,2000,90.29529000000001,939112496.4125801,Safely managed service
1325,sdg,Europe and Northern America,total,Drinking water,2000,0.13774,1432570.50885,Surface water
1328,sdg,Europe and Northern America,total,Drinking water,2000,1.05284,10950030.65009,Unimproved
1346,sdg,Europe and Northern America,total,Drinking water,2001,8.23777,85949480.62199,Basic service
1348,sdg,Europe and Northern America,total,Drinking water,2001,0.20065999999999998,2093552.6955099998,Limited service
1351,sdg,Europe and Northern America,total,Drinking water,2001,90.38714,943062167.1862401,Safely managed service
1353,sdg,Europe and Northern America,total,Drinking water,2001,0.13635,1422662.38844,Surface water
1356,sdg,Europe and Northern America,total,Drinking water,2001,1.03808,10830926.10887,Unimproved
1375,sdg,Europe and Northern America,total,Drinking water,2002,8.15218,85329648.80314,Basic service
1377,sdg,Europe and Northern America,total,Drinking water,2002,0.20140999999999998,2108174.46599,Limited service
1380,sdg,Europe and Northern America,total,Drinking water,2002,90.50904,947366621.68648,Safely managed service
1382,sdg,Europe and Northern America,total,Drinking water,2002,0.13525,1415622.26817,Surface water
1385,sdg,Europe and Northern America,total,Drinking water,2002,1.0021200000000001,10489321.07927,Unimproved
1404,sdg,Europe and Northern America,total,Drinking water,2003,8.0605,84649747.93392,Basic service
1406,sdg,Europe and Northern America,total,Drinking water,2003,0.20390999999999998,2141447.60649,Limited service
1409,sdg,Europe and Northern America,total,Drinking water,2003,90.63283,951807785.3029199,Safely managed service
1411,sdg,Europe and Northern America,total,Drinking water,2003,0.13408,1408055.05475,Surface water
1414,sdg,Europe and Northern America,total,Drinking water,2003,0.9686799999999999,10172848.10593,Unimproved
1433,sdg,Europe and Northern America,total,Drinking water,2004,7.759460000000001,81774555.18283,Basic service
1435,sdg,Europe and Northern America,total,Drinking water,2004,0.23235999999999998,2448762.86043,Limited service
1438,sdg,Europe and Northern America,total,Drinking water,2004,90.93963000000001,958385009.36819,Safely managed service
1440,sdg,Europe and Northern America,total,Drinking water,2004,0.13291,1400720.59745,Surface water
1443,sdg,Europe and Northern America,total,Drinking water,2004,0.9356399999999999,9860382.5951,Unimproved
1462,sdg,Europe and Northern America,total,Drinking water,2005,5.20057,55013474.39075,Basic service
1464,sdg,Europe and Northern America,total,Drinking water,2005,0.2422,2562052.2437299998,Limited service
1467,sdg,Europe and Northern America,total,Drinking water,2005,93.46387,988694018.2165401,Safely managed service
1469,sdg,Europe and Northern America,total,Drinking water,2005,0.11262,1191297.03295,Surface water
1472,sdg,Europe and Northern America,total,Drinking water,2005,0.98075,10374669.91203,Unimproved
1491,sdg,Europe and Northern America,total,Drinking water,2006,4.98414,52938113.37406,Basic service
1493,sdg,Europe and Northern America,total,Drinking water,2006,0.27552,2926337.17539,Limited service
1496,sdg,Europe and Northern America,total,Drinking water,2006,93.67631,994966126.25606,Safely managed service
1498,sdg,Europe and Northern America,total,Drinking water,2006,0.11269000000000001,1196941.64267,Surface water
1501,sdg,Europe and Northern America,total,Drinking water,2006,0.95134,10104507.058869999,Unimproved
1520,sdg,Europe and Northern America,total,Drinking water,2007,4.76905,50871823.8557,Basic service
1522,sdg,Europe and Northern America,total,Drinking water,2007,0.30746,3279668.90492,Limited service
1525,sdg,Europe and Northern America,total,Drinking water,2007,93.88899,1001520398.1503301,Safely managed service
1527,sdg,Europe and Northern America,total,Drinking water,2007,0.11167,1191234.85283,Surface water
1530,sdg,Europe and Northern America,total,Drinking water,2007,0.9228299999999999,9843848.23316,Unimproved
1549,sdg,Europe and Northern America,total,Drinking water,2008,4.56033,48858538.86115,Basic service
1551,sdg,Europe and Northern America,total,Drinking water,2008,0.33907,3632772.9748699996,Limited service
1554,sdg,Europe and Northern America,total,Drinking water,2008,94.09487,1008114365.9488199,Safely managed service
1556,sdg,Europe and Northern America,total,Drinking water,2008,0.02385,255486.16248000003,Surface water
1559,sdg,Europe and Northern America,total,Drinking water,2008,0.98188,10519653.95067,Unimproved
1578,sdg,Europe and Northern America,total,Drinking water,2009,4.35889,46897469.24313,Basic service
1580,sdg,Europe and Northern America,total,Drinking water,2009,0.36895,3969552.49435,Limited service
1583,sdg,Europe and Northern America,total,Drinking water,2009,94.29366999999999,1014510000.83441,Safely managed service
1585,sdg,Europe and Northern America,total,Drinking water,2009,0.02376,255649.37827,Surface water
1588,sdg,Europe and Northern America,total,Drinking water,2009,0.95473,10272024.04984,Unimproved
1607,sdg,Europe and Northern America,total,Drinking water,2010,4.166440000000001,45001768.205570005,Basic service
1609,sdg,Europe and Northern America,total,Drinking water,2010,0.39810999999999996,4299935.26191,Limited service
1612,sdg,Europe and Northern America,total,Drinking water,2010,94.49604000000001,1020652222.9480301,Safely managed service
1614,sdg,Europe and Northern America,total,Drinking water,2010,0.02339,252681.54546,Surface water
1617,sdg,Europe and Northern America,total,Drinking water,2010,0.9160200000000001,9893921.040110001,Unimproved
1636,sdg,Europe and Northern America,total,Drinking water,2011,3.9798199999999997,43137073.22884,Basic service
1638,sdg,Europe and Northern America,total,Drinking water,2011,0.42703,4628541.99273,Limited service
1641,sdg,Europe and Northern America,total,Drinking water,2011,94.69214000000001,1026362547.5192801,Safely managed service
1643,sdg,Europe and Northern America,total,Drinking water,2011,0.02344,254045.92888000002,Surface water
1646,sdg,Europe and Northern America,total,Drinking water,2011,0.8775700000000001,9511973.20135,Unimproved
1665,sdg,Europe and Northern America,total,Drinking water,2012,3.80095,41329249.09237,Basic service
1667,sdg,Europe and Northern America,total,Drinking water,2012,0.45524,4949949.33839,Limited service
1670,sdg,Europe and Northern America,total,Drinking water,2012,94.8799,1031665754.1240801,Safely managed service
1672,sdg,Europe and Northern America,total,Drinking water,2012,0.02367,257425.74547,Surface water
1675,sdg,Europe and Northern America,total,Drinking water,2012,0.84024,9136207.4986,Unimproved
1694,sdg,Europe and Northern America,total,Drinking water,2013,3.65345,39842241.81169,Basic service
1696,sdg,Europe and Northern America,total,Drinking water,2013,0.46701000000000004,5092935.0453699995,Limited service
1699,sdg,Europe and Northern America,total,Drinking water,2013,95.05142,1036572601.53525,Safely managed service
1701,sdg,Europe and Northern America,total,Drinking water,2013,0.02392,260809.60374000002,Surface water
1704,sdg,Europe and Northern America,total,Drinking water,2013,0.8042100000000001,8770224.90595,Unimproved
1723,sdg,Europe and Northern America,total,Drinking water,2014,3.6048400000000003,39424704.89143,Basic service
1725,sdg,Europe and Northern America,total,Drinking water,2014,0.48896999999999996,5347635.6397,Limited service
1728,sdg,Europe and Northern America,total,Drinking water,2014,95.11270999999999,1040208923.3036801,Safely managed service
1730,sdg,Europe and Northern America,total,Drinking water,2014,0.03185,348321.81219,Surface water
1733,sdg,Europe and Northern America,total,Drinking water,2014,0.76163,8329690.455,Unimproved
1752,sdg,Europe and Northern America,total,Drinking water,2015,3.58587,39330415.82119,Basic service
1754,sdg,Europe and Northern America,total,Drinking water,2015,0.49217,5398192.74289,Limited service
